[Time] - SPS.PSM,[Time] - SPS.RPE,[Time] - Reshape,[Time] - Matmul,[Time] - Reshape Time-Space,[Time] - Transpose and LIF,[Time] - Projection and BN,[Time] - SSA Encoder,[Time] - MLP,[Time] - Spikeformer Time time
0.002,0.0004,0.000285197,0.000120796,2.1358e-05,0.000323388,0.0001125,0.0037125,0.0016125,0.0458
0.0014,0.0004,0.000279341,0.000109868,1.949e-05,0.000316206,0.0001125,0.003675,0.0015875,0.0445
0.0028,0.0004,0.000262597,0.000224798,2.385e-05,0.000369396,0.0001,0.0038625,0.0018,0.0492
0.0017,0.0004,0.000254347,0.000182043,2.2197e-05,0.000360438,0.0001125,0.0037875,0.0018,0.0478
0.0018,0.0004,0.000254569,0.000204738,2.3348e-05,0.000361229,0.0001,0.003875,0.001825,0.0488
0.0018,0.0004,0.000256192,0.000221106,2.4284e-05,0.000374974,0.0001,0.00385,0.0018,0.0481
0.0017,0.0004,0.000262432,0.000203347,2.4183e-05,0.000362193,0.000125,0.0039875,0.0018125,0.0491
0.0018,0.0004,0.00026088,0.000181647,2.259e-05,0.000358235,0.0001125,0.00385,0.0018,0.0483
0.0018,0.0004,0.000257248,0.000179554,2.3625e-05,0.000362419,0.0001,0.0038375,0.00185,0.0487
0.0017,0.0004,0.000258364,0.000220052,2.6133e-05,0.000382772,0.0001,0.003925,0.001825,0.0487
0.0017,0.0004,0.000255833,0.000184143,2.4285e-05,0.000367288,0.000125,0.003925,0.0018375,0.0489
0.0018,0.0005,0.000256914,0.000181953,2.2599e-05,0.000362266,0.0001375,0.0038625,0.0018,0.0483
0.0017,0.0004,0.000261383,0.000219304,2.3818e-05,0.000388345,0.0001125,0.0039,0.0018375,0.0488
0.0017,0.0004,0.000259766,0.000201374,2.378e-05,0.000371342,0.0001125,0.0039125,0.001825,0.0489
0.0018,0.0004,0.000282457,0.000185223,2.391e-05,0.00036469,0.0001125,0.0040125,0.00215,0.0523
0.0023,0.0004,0.000274371,0.000205134,2.582e-05,0.000366165,0.0001125,0.00405,0.002125,0.053
0.0017,0.0004,0.000269093,0.000203475,2.4668e-05,0.000374655,0.0001125,0.004075,0.0022,0.0531
0.0018,0.0004,0.000284142,0.000184381,2.5615e-05,0.000366716,0.0001125,0.0041375,0.00215,0.0533
0.0018,0.0004,0.000280058,0.000184801,2.4386e-05,0.000363139,0.0001125,0.0040625,0.002125,0.0527
0.0018,0.0004,0.000267213,0.000287898,2.682e-05,0.000438067,0.0001125,0.00425,0.0022,0.0545
0.002,0.0005,0.000280092,0.000191505,2.6027e-05,0.00037469,0.000125,0.0042875,0.0022,0.0552
0.0018,0.0004,0.000290167,0.000208864,2.763e-05,0.000368635,0.0001125,0.0040875,0.002175,0.0532
0.0017,0.0004,0.000266009,0.000183992,2.3999e-05,0.000371428,0.0001,0.00405,0.0021375,0.0524
0.0017,0.0004,0.000268524,0.000187387,2.4129e-05,0.000360775,0.0001125,0.0041375,0.0021625,0.0533
0.0018,0.0004,0.000289952,0.000187975,2.4209e-05,0.000366373,0.0001125,0.0040375,0.0021625,0.0527
0.0017,0.0004,0.000267033,0.000229531,2.5697e-05,0.000364792,0.0001125,0.0041125,0.00215,0.053
0.0018,0.0004,0.00030072,0.000208115,2.662e-05,0.000374409,0.0001125,0.0041125,0.0020875,0.0525
