Execution,output_0,output_1,output_2,output_3,x_0,x_1,x_2,x_3
1,0.988,0.986,0.972,0.9655,1.0,0.998,0.9984,0.9984
2,0.9847,0.988,0.9622,0.9733,1.0,0.9993,0.9954,0.9987
3,0.9756,0.9753,0.9753,0.9759,0.9987,0.9997,1.0,0.9987
4,0.985,0.9883,0.974,0.9697,0.9997,1.0,0.9974,0.9984
5,0.9788,0.9928,0.9694,0.9404,0.999,0.999,0.998,0.9964
6,0.9824,0.973,0.9821,0.9665,1.0,0.9971,1.0,0.9987
7,0.9736,0.9798,0.972,0.9697,0.999,0.998,0.998,0.9971
8,0.972,0.972,0.9567,0.9684,0.9984,0.9954,0.9993,0.9941
9,0.9863,0.9876,0.9766,0.9766,0.9984,0.9993,1.0,0.9984
10,0.9785,0.9694,0.9792,0.9824,0.9987,0.9997,0.999,0.9987
11,0.9775,0.9648,0.9811,0.9792,0.9987,0.9987,0.9997,0.9997
12,0.9746,0.9714,0.9766,0.9795,0.9987,0.999,0.999,0.9997
13,0.9785,0.9785,0.9779,0.9792,1.0,0.9977,0.9984,0.9997
14,0.9609,0.9609,0.9762,0.9831,0.9958,0.9987,0.9954,0.9987
15,0.9629,0.9814,0.9717,0.9837,0.9967,0.9977,0.9974,0.9997
16,0.9798,0.9694,0.9795,0.972,0.998,0.9997,0.998,0.9984
17,0.9883,0.9837,0.9743,0.9743,1.0,0.9984,0.9987,0.9971
18,0.9902,0.9854,0.9837,0.9746,0.9993,1.0,1.0,1.0
19,0.9759,0.9723,0.9837,0.9805,0.9997,0.9977,0.9977,0.9993
20,0.9727,0.9837,0.9753,0.9658,0.9967,0.9977,0.999,0.9984
21,0.9772,0.9772,0.9736,0.9756,0.9997,0.9977,0.9971,1.0
22,0.9844,0.9775,0.9782,0.9769,0.9997,0.9993,0.999,1.0
23,0.9707,0.9639,0.9762,0.9743,0.9984,0.9984,0.999,0.9977
24,0.9759,0.9723,0.9694,0.9834,0.9977,0.9997,0.9987,1.0
25,0.9792,0.9801,0.9704,0.9769,0.9971,0.999,0.9987,1.0
26,0.9707,0.9808,0.9759,0.9772,0.9932,1.0,1.0,0.999
27,0.9772,0.9681,0.9688,0.9834,0.9977,0.9997,0.9997,0.9997
28,0.9678,0.9639,0.9701,0.9772,0.9987,0.9971,0.9984,1.0
29,0.9622,0.973,0.9808,0.9821,1.0,0.9997,0.9997,0.9974
30,0.9704,0.9684,0.9762,0.9694,1.0,0.9993,0.9997,0.9954
31,0.974,0.9749,0.9847,0.9792,0.9967,0.9967,1.0,0.9993
32,0.973,0.9801,0.9811,0.9811,0.9977,0.9987,0.998,0.999
33,0.9909,0.9893,0.9629,0.9727,0.9984,0.9997,0.9974,0.998
34,0.986,0.9821,0.9805,0.9694,0.9997,0.9997,0.9993,0.999
35,0.9801,0.9779,0.9811,0.9837,0.9997,1.0,0.9987,1.0
36,0.9714,0.9834,0.9736,0.9762,0.9984,1.0,0.9967,0.9961
37,0.9785,0.9824,0.9661,0.9801,0.9971,1.0,1.0,1.0
38,0.9753,0.9798,0.9629,0.9749,0.9984,1.0,0.9954,0.999
39,0.9814,0.9893,0.9645,0.9622,0.9977,1.0,0.9987,0.9984
40,0.9746,0.9769,0.9762,0.9772,0.9967,1.0,0.9984,0.9993
41,0.9932,0.9814,0.9857,0.9772,1.0,1.0,1.0,0.9984
42,0.9938,0.9831,0.9766,0.9671,1.0,1.0,0.9977,0.9987
43,0.9941,0.988,0.9701,0.9697,1.0,1.0,0.9984,0.9987
44,0.986,0.9785,0.9795,0.9655,0.999,1.0,0.9984,0.999
45,0.9801,0.9756,0.9775,0.9753,0.9977,0.9961,1.0,1.0
46,0.9759,0.9821,0.9782,0.9668,0.9974,0.9984,0.999,0.9984
47,0.9736,0.9821,0.971,0.9561,0.9954,0.999,0.9993,0.9964
48,0.9658,0.9818,0.9824,0.972,0.998,0.9993,0.9997,0.999
49,0.988,0.986,0.9645,0.9551,1.0,0.9984,0.9958,0.9906
50,0.9935,0.984,0.9704,0.974,1.0,1.0,0.9993,0.9977
51,0.9805,0.988,0.9674,0.9632,0.9987,0.9987,1.0,0.999
52,0.9824,0.9801,0.9798,0.9798,0.9997,0.9987,0.9987,0.9984
53,0.9805,0.9756,0.9723,0.9648,0.9974,0.9948,1.0,0.9951
54,0.9753,0.974,0.9743,0.9635,0.9984,0.999,1.0,0.9945
55,0.9759,0.9756,0.974,0.9749,0.9997,0.999,0.9984,0.9997
56,0.9811,0.9668,0.973,0.9746,0.998,0.9974,0.9987,1.0
57,0.9932,0.9805,0.9759,0.9762,1.0,0.9964,0.9977,0.9997
58,0.9811,0.974,0.9779,0.9753,0.999,0.9967,0.9984,1.0
59,0.986,0.9704,0.9613,0.9733,1.0,0.998,0.9971,1.0
60,0.987,0.9854,0.9727,0.9753,1.0,1.0,0.999,0.9958
61,0.986,0.9707,0.9648,0.9648,0.9993,1.0,1.0,0.9984
62,0.9652,0.9785,0.9652,0.973,0.9967,0.9993,0.9993,0.998
63,0.9831,0.9723,0.9753,0.972,0.999,0.999,1.0,1.0
64,0.9762,0.9753,0.9788,0.9704,0.9964,1.0,0.9997,0.9974
65,0.9886,0.9837,0.9782,0.974,1.0,0.9987,1.0,0.9984
66,0.9827,0.988,0.9766,0.9805,1.0,1.0,0.999,0.9997
67,0.9863,0.9749,0.9701,0.974,1.0,0.9984,0.999,0.9974
68,0.9863,0.9775,0.9795,0.9772,0.9993,0.999,0.9964,0.9987
69,0.986,0.9863,0.9749,0.973,1.0,1.0,0.9964,0.9997
70,0.987,0.9805,0.9834,0.9714,0.999,0.999,1.0,0.9987
71,0.9766,0.9792,0.971,0.9648,0.9967,1.0,1.0,1.0
72,0.9697,0.971,0.9733,0.9769,1.0,0.9932,0.9993,1.0
73,0.9919,0.9883,0.9652,0.9606,0.9993,1.0,0.998,0.9997
74,0.9909,0.988,0.9684,0.9561,1.0,1.0,0.9997,0.9974
75,0.9798,0.9811,0.9655,0.9691,0.9987,0.9987,0.9971,0.9987
76,0.9844,0.9743,0.987,0.96,0.9974,0.998,1.0,0.9984
77,0.984,0.9811,0.9801,0.959,1.0,1.0,0.9964,0.9941
78,0.9792,0.9795,0.9652,0.9648,1.0,0.9987,0.9974,0.9997
79,0.986,0.973,0.9795,0.9733,1.0,1.0,0.9987,1.0
80,0.9704,0.9788,0.9535,0.9775,1.0,1.0,0.9984,0.999
